Date,Vol State,Hmm state,True State,Adj CLose,Collective State,XOR,New State
1988-01-15,1,0.0,1.0,141.5899963378906,,,0.0
1988-01-18,1,0.0,1.0,141.6799926757812,,,0.0
1988-01-19,1,0.0,1.0,140.6399993896484,,,0.0
1988-01-20,1,0.0,1.0,137.1600036621094,,,0.0
1988-01-21,1,0.0,1.0,137.4600067138672,,,0.0
1988-01-22,1,0.0,1.0,139.1900024414062,,,0.0
1988-01-25,1,0.0,1.0,141.9600067138672,,,0.0
1988-01-26,1,0.0,1.0,140.7899932861328,,,0.0
1988-01-27,1,0.0,1.0,140.7100067138672,,,0.0
1988-01-28,1,0.0,1.0,142.6399993896484,,,0.0
1988-01-29,1,0.0,1.0,144.5399932861328,,,0.0
1988-02-01,1,1.0,1.0,143.9499969482422,,State change,1.0
1988-02-02,1,1.0,1.0,144.2200012207031,,,1.0
1988-02-03,1,1.0,1.0,142.6399993896484,,,1.0
1988-02-04,1,1.0,1.0,142.5500030517578,,,1.0
1988-02-05,1,1.0,1.0,142.1399993896484,,,1.0
1988-02-08,1,1.0,1.0,141.1799926757812,,,1.0
1988-02-09,1,1.0,1.0,142.3300018310547,,,1.0
1988-02-10,1,1.0,1.0,144.9100036621094,,,1.0
1988-02-11,1,1.0,1.0,144.7599945068359,,,1.0
1988-02-12,1,1.0,1.0,145.6300048828125,,,1.0
1988-02-16,1,1.0,1.0,146.6499938964844,,,1.0
1988-02-17,1,1.0,1.0,146.4700012207031,,,1.0
1988-02-18,1,1.0,1.0,145.9199981689453,,,1.0
1988-02-19,1,1.0,1.0,147.6799926757812,,,1.0
1988-02-22,1,1.0,1.0,149.6199951171875,,,1.0
1988-02-23,1,1.0,1.0,149.5099945068359,,,1.0
1988-02-24,1,1.0,1.0,149.4900054931641,,,1.0
1988-02-25,1,1.0,1.0,148.3800048828125,,,1.0
1988-02-26,1,1.0,1.0,148.75,,,1.0
1988-02-29,1,1.0,1.0,151.4299926757812,,,1.0
1988-03-01,1,1.0,1.0,151.2299957275391,,,1.0
1988-03-02,1,1.0,1.0,151.8500061035156,,,1.0
1988-03-03,1,1.0,1.0,151.9799957275391,,,1.0
1988-03-04,1,1.0,1.0,151.7599945068359,,,1.0
1988-03-07,1,1.0,1.0,151.8699951171875,,,1.0
1988-03-08,1,1.0,1.0,152.9499969482422,,,1.0
1988-03-09,1,1.0,1.0,152.9499969482422,,,1.0
1988-03-10,1,1.0,1.0,150.3600006103516,,,1.0
1988-03-11,1,1.0,1.0,150.6999969482422,,,1.0
1988-03-14,1,1.0,1.0,151.3699951171875,,,1.0
1988-03-15,1,1.0,1.0,151.3000030517578,,,1.0
1988-03-16,1,1.0,1.0,152.6100006103516,,,1.0
1988-03-17,1,1.0,1.0,154.0,,,1.0
1988-03-18,1,1.0,1.0,153.9199981689453,,,1.0
1988-03-21,1,1.0,1.0,152.6900024414062,,,1.0
1988-03-22,1,1.0,1.0,152.8300018310547,,,1.0
1988-03-23,1,1.0,1.0,153.0299987792969,,,1.0
